#Non-parametric morphology statistics and PC values for CANDELS (UDS/GOODS-S/COSMOS)
#galaxies
#pGX refers to the probability of a galaxy being in group X
#ID RA DEC C_J ASYM_J M20_J GINI_J M_J I_J D_J LOGMASS PHOTZ GROUP PC1 PC2 PC3 PC4 PC5 PC6 PC7    pGoutlier pG0 pG1 pG2 pG4 pG5 pG6 pG8 pG9 
1312 	  34.271702 	  -5.270393 	               3.460000 	   0.040000 	  -1.760000 	   0.590000 	             -99.000000 	   0.006000 	   0.036000 	  10.450000 	   1.445000 	 6 	-2.501930 	-0.004503 	0.239154 	0.838437 	-0.155153 	-0.845101 	0.113965 	  0.00 	  0.06 	  0.07 	  0.00 	  0.00 	  0.13 	  0.71 	  0.01 	  0.01 	
1372 	  34.237446 	  -5.270451 	               3.230000 	   0.100000 	  -1.910000 	   0.580000 	             -99.000000 	   0.001000 	   0.031000 	  11.060000 	   1.501000 	 6 	-2.668537 	-0.061649 	0.740231 	0.459005 	0.151718 	-0.715966 	-0.077464 	  0.00 	  0.00 	  0.05 	  0.00 	  0.00 	  0.18 	  0.76 	  0.01 	  0.00 	
1513 	  34.483025 	  -5.268365 	               2.990000 	  -0.030000 	  -1.790000 	   0.500000 	               0.036000 	   0.032000 	   0.103000 	  10.140000 	   1.757000 	 8 	-0.744318 	-0.148670 	-0.599508 	-0.130663 	1.346590 	0.105714 	0.189983 	  0.00 	  0.04 	  0.07 	  0.02 	  0.13 	  0.02 	  0.21 	  0.40 	  0.11 	
1630 	  34.439735 	  -5.268199 	               2.910000 	   0.160000 	  -1.860000 	   0.590000 	             -99.000000 	   0.006000 	   0.190000 	  10.090000 	   1.479000 	 6 	-2.135975 	-0.124750 	1.606143 	1.188628 	0.464923 	-0.445374 	0.088865 	  0.00 	  0.00 	  0.06 	  0.01 	  0.02 	  0.17 	  0.71 	  0.00 	  0.03 	
1659 	  34.549622 	  -5.267860 	               2.620000 	   0.080000 	  -1.660000 	   0.480000 	             -99.000000 	   0.000000 	   0.053000 	  10.610000 	   1.519000 	 6 	-1.358690 	-1.201509 	0.610512 	-0.195423 	-0.292562 	0.148787 	-0.285930 	  0.00 	  0.00 	  0.00 	  0.08 	  0.11 	  0.00 	  0.79 	  0.00 	  0.01 	
1694 	  34.542748 	  -5.267807 	               4.730000 	   0.100000 	  -1.430000 	   0.450000 	             -99.000000 	   0.004000 	   0.134000 	  10.200000 	   1.428000 	 6 	-0.661569 	0.650651 	-0.149563 	0.576586 	-1.517417 	0.691285 	-1.407545 	  0.00 	  0.10 	  0.02 	  0.09 	  0.02 	  0.03 	  0.41 	  0.18 	  0.15 	
1878 	  34.398075 	  -5.266524 	               2.860000 	   0.170000 	  -1.590000 	   0.510000 	             -99.000000 	   0.003000 	   0.043000 	  10.160000 	   1.792000 	 6 	-1.532467 	-0.555059 	1.088556 	-0.126989 	-0.623064 	0.028416 	0.036929 	  0.00 	  0.00 	  0.06 	  0.08 	  0.11 	  0.01 	  0.72 	  0.01 	  0.02 	
1981 	  34.392021 	  -5.265832 	               3.130000 	   0.130000 	  -1.770000 	   0.550000 	               0.029000 	   0.002000 	   0.110000 	  10.050000 	   1.963100 	 0 	-1.155351 	0.723833 	0.445087 	-0.010494 	1.147430 	0.034085 	0.705330 	  0.00 	  0.12 	  0.04 	  0.04 	  0.04 	  0.06 	  0.15 	  0.22 	  0.32 	
2067 	  34.396679 	  -5.266043 	               3.590000 	   0.070000 	  -1.910000 	   0.470000 	               0.078000 	   0.285000 	   0.057000 	  10.990000 	   1.743000 	 8 	-0.440567 	0.629476 	-0.221842 	-0.893009 	1.096657 	-0.351452 	-0.741990 	  0.00 	  0.35 	  0.04 	  0.02 	  0.06 	  0.00 	  0.19 	  0.25 	  0.08 	
2131 	  34.228306 	  -5.265057 	               2.390000 	   0.020000 	  -1.600000 	   0.490000 	             -99.000000 	   0.002000 	   0.080000 	  10.060000 	   1.503000 	 6 	-1.234960 	-1.562371 	0.390014 	0.144018 	-0.173580 	0.029322 	-0.028456 	  0.00 	  0.01 	  0.00 	  0.13 	  0.02 	  0.00 	  0.67 	  0.00 	  0.16 	
2158 	  34.429539 	  -5.265808 	               3.080000 	   0.170000 	  -1.510000 	   0.440000 	               0.158000 	   0.395000 	   0.032000 	  10.420000 	   1.487000 	 8 	0.592202 	0.303745 	0.400990 	-1.471672 	0.163598 	-0.269065 	-0.073064 	  0.00 	  0.00 	  0.04 	  0.06 	  0.00 	  0.13 	  0.14 	  0.46 	  0.16 	
